Date,GOOGL,AMZN
2024-07-05,189.2545623779297,200.0
2024-07-08,187.6956329345703,199.2899932861328
2024-07-09,187.64599609375,199.33999633789062
2024-07-10,189.83045959472656,199.7899932861328
2024-07-11,184.2600860595703,195.0500030517578
2024-07-12,183.76361083984375,194.49000549316406
2024-07-15,185.2133026123047,192.72000122070312
2024-07-16,182.6217041015625,193.02000427246094
2024-07-17,179.74220275878906,187.92999267578125
2024-07-18,176.43568420410156,183.75
2024-07-19,176.40591430664062,183.1300048828125
2024-07-22,180.38760375976562,182.5500030517578
2024-07-23,180.5067596435547,186.41000366210938
2024-07-24,171.41140747070312,180.8300018310547
2024-07-25,166.0991668701172,179.85000610351562
2024-07-26,165.82115173339844,182.5
2024-07-29,168.3332977294922,183.1999969482422
2024-07-30,169.08792114257812,181.7100067138672
2024-07-31,170.32911682128906,186.97999572753906
2024-08-01,169.55459594726562,184.07000732421875
2024-08-02,165.48355102539062,167.89999389648438
2024-08-05,158.12586975097656,161.02000427246094
2024-08-06,157.17262268066406,161.92999267578125
2024-08-07,157.8180389404297,162.77000427246094
2024-08-08,160.88624572753906,165.8000030517578
2024-08-09,162.51466369628906,166.94000244140625
2024-08-12,161.14437866210938,166.8000030517578
2024-08-13,163.00120544433594,170.22999572753906
2024-08-14,159.23794555664062,170.10000610351562
2024-08-15,160.161376953125,177.58999633789062
2024-08-16,161.80967712402344,177.05999755859375
2024-08-19,165.4934844970703,178.22000122070312
2024-08-20,165.9998779296875,178.8800048828125
2024-08-21,164.67929077148438,180.11000061035156
2024-08-22,162.6437530517578,176.1300048828125
2024-08-23,164.45089721679688,177.0399932861328
2024-08-26,164.98709106445312,175.5
2024-08-27,163.5175323486328,173.1199951171875
2024-08-28,161.70045471191406,170.8000030517578
2024-08-29,160.6379852294922,172.1199951171875
2024-08-30,162.22671508789062,178.5
